"","Raumeinheit"
"1","Flensburg, Stadt"
"2","Kiel, Stadt"
"3","Lübeck, Stadt"
"4","Neumünster, Stadt"
"5","Dithmarschen"
"6","Herzogtum Lauenburg"
"7","Nordfriesland"
"8","Ostholstein"
"9","Pinneberg"
"10","Plön"
"11","Rendsburg-Eckernförde"
"12","Schleswig-Flensburg"
"13","Segeberg"
"14","Steinburg"
"15","Stormarn"
"16","Hamburg, Stadt"
"17","Braunschweig, Stadt"
"18","Salzgitter, Stadt"
"19","Wolfsburg, Stadt"
"20","Gifhorn"
"21","Goslar"
"22","Helmstedt"
"23","Northeim"
"24","Peine"
"25","Wolfenbüttel"
"26","Göttingen"
"27","Region Hannover"
"28","Diepholz"
"29","Hameln-Pyrmont"
"30","Hildesheim"
"31","Holzminden"
"32","Nienburg (Weser)"
"33","Schaumburg"
"34","Celle"
"35","Cuxhaven"
"36","Harburg"
"37","Lüchow-Dannenberg"
"38","Lüneburg"
"39","Osterholz"
"40","Rotenburg (Wümme)"
"41","Heidekreis"
"42","Stade"
"43","Uelzen"
"44","Verden"
"45","Delmenhorst, Stadt"
"46","Emden, Stadt"
"47","Oldenburg (Oldenburg), Stadt"
"48","Osnabrück, Stadt"
"49","Wilhelmshaven, Stadt"
"50","Ammerland"
"51","Aurich"
"52","Cloppenburg"
"53","Emsland"
"54","Friesland"
"55","Grafschaft Bentheim"
"56","Leer"
"57","Oldenburg"
"58","Osnabrück"
"59","Vechta"
"60","Wesermarsch"
"61","Wittmund"
"62","Bremen, Stadt"
"63","Bremerhaven, Stadt"
"64","Düsseldorf, Stadt"
"65","Duisburg, Stadt"
"66","Essen, Stadt"
"67","Krefeld, Stadt"
"68","Mönchengladbach, Stadt"
"69","Mülheim an der Ruhr, Stadt"
"70","Oberhausen, Stadt"
"71","Remscheid, Stadt"
"72","Solingen, Stadt"
"73","Wuppertal, Stadt"
"74","Kleve"
"75","Mettmann"
"76","Rhein-Kreis Neuss"
"77","Viersen"
"78","Wesel"
"79","Bonn, Stadt"
"80","Köln, Stadt"
"81","Leverkusen, Stadt"
"82","Städteregion Aachen"
"83","Düren"
"84","Rhein-Erft-Kreis"
"85","Euskirchen"
"86","Heinsberg"
"87","Oberbergischer Kreis"
"88","Rheinisch-Bergischer Kreis"
"89","Rhein-Sieg-Kreis"
"90","Bottrop, Stadt"
"91","Gelsenkirchen, Stadt"
"92","Münster, Stadt"
"93","Borken"
"94","Coesfeld"
"95","Recklinghausen"
"96","Steinfurt"
"97","Warendorf"
"98","Bielefeld, Stadt"
"99","Gütersloh"
"100","Herford"
"101","Höxter"
"102","Lippe"
"103","Minden-Lübbecke"
"104","Paderborn"
"105","Bochum, Stadt"
"106","Dortmund, Stadt"
"107","Hagen, Stadt"
"108","Hamm, Stadt"
"109","Herne, Stadt"
"110","Ennepe-Ruhr-Kreis"
"111","Hochsauerlandkreis"
"112","Märkischer Kreis"
"113","Olpe"
"114","Siegen-Wittgenstein"
"115","Soest"
"116","Unna"
